,mean_top1_train,mean_top1_val,mean_top5_train,mean_top5_val,pred_train,pred_val
n02025239,0.9461538461538461,0.98,0.9869230769230769,0.98,[139 139 139 ... 139 139 139],"[139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139
 120 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139
 139 139 139 139 139 139 139 139 139 139 139 139 139 139]"
n03832673,0.5592307692307692,0.38,0.9015384615384615,0.8,[681 620 681 ... 332 681 681],"[662 620 681 508 620 620 534 681 662 681 681 664 681 681 620 620 681 905
 681 508 893 549 681 620 681 620 681 526 620 696 527 929 620 223 527 681
 681 916 620 620 681 620 742 526 681 681 681 681 742 681]"
n04404412,0.6330769230769231,0.56,0.926923076923077,0.86,[851 851 851 ... 851 851 745],"[851 664 598 559 851 851 851 851 851 664 851 916 664 598 851 851 851 851
 765 851 782 851 648 851 800 851 611 851 881 892 851 782 664 461 851 851
 851 851 461 598 851 851 548 851 851 886 851 851 548 851]"
n02106382,0.806923076923077,0.74,0.9592307692307692,0.96,[230 233 233 ... 233 235 233],"[233 233 233 233 233 233 233 233 197 233 233 233 233 233 233 233 233 233
 267 233 233 233 233 183 226 850 233 233 233 197 233 233 233 233 233 183
 233 197 233 233 177 206 233 233 233 250 233 206 183 233]"
n02233338,0.8138461538461539,0.66,0.93,0.82,[314 314 314 ... 314 314 314],"[314 314 314 314 314 488 314  59 314 599 306 314 314 448 314 420 314 314
 314 619 314  78 314 318 314 314 861 310 314 314 920 223 314 314 314 314
 314 314 314 913 306 845 307 314 314 314 314 314 314 314]"
n02701002,0.7861538461538462,0.94,0.9553846153846154,0.96,[555 407 407 ... 407 625 407],"[407 407 407 407 407 407 407 407 407 407 407 661 407 407 407 407 407 407
 407 407 407 407 407 407 407 407 555 407 407 407 407 407 407 407 407 407
 407 407 407 734 407 407 407 407 407 407 407 407 407 407]"
n03425413,0.8907692307692308,0.86,0.9576923076923077,0.9,[571 843 571 ... 571 571 571],"[571 571 571 571 571 571 571 571 571 882 571 449 571 710 571 571 571 571
 571 571 489 571 571 571 571 571 571 571 920 571 571 571 571 571 571 571
 571 571 553 571 637 571 571 571 571 571 571 571 571 571]"
n04118538,0.9161538461538462,0.78,0.9815384615384616,0.92,[768 768 768 ... 768 768 768],"[768 768 768 768 768 890 768 722 768 768 768 768 768 768 768 768 768 429
 768 768 768 890 732 768 768 768 768 768 768 768 768 560 768 768 768 455
 768 768 768 768 805 768 405 518 768 768 733 768 768 768]"
n03998194,0.8853846153846154,0.7,0.95,0.88,[741 741 741 ... 741 741 406],"[533 741 741 741 741 642 741 741 741 885 741 741 281 917 741 741 184 741
 741 741 741 894 741 698 741 741 741 741 741 857 741 741 741 741 741 750
 539 741 697 741 741 649 741 880 741 741 741 741 399 741]"
n01688243,0.846911369740376,0.86,0.945389435989257,0.9,[43 42 43 ... 43 43 43],"[ 43  43  43  43  69  43  43  43  43  43  43  43  43  43  43  43  32  43
  43 316  43  43  43  43  43  43  43  43  43  43  43  43  43  41  43  43
  43  61  43  43 596  39  43  43  43  43  43  43  43  43]"
n02782093,0.8923076923076924,0.92,0.9676923076923077,0.96,[417 417 417 ... 417 417 417],"[417 807 417 417 417 417 417 541 417 417 417 417 417 417 417 417 417 832
 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417 417
 417 417 417 417 417 417 417 417 417 417 660 417 417 417]"
n02088364,0.7776923076923077,0.76,0.9553846153846154,0.96,[162 161 162 ... 162 162 162],"[238 162 166 162 162 166 162 162 167 162 263 162 162 161 162 162 162 185
 166 162 162 162 162 162 162 161 162 162 162 162 162 162 161 162 162 162
 162 162 162 241 572 162 162 162 162 162 162 162 162 162]"
n04152593,0.4135753749013418,0.12,0.9226519337016574,0.82,[782 664 782 ... 526 782 664],"[688 782 664 527 526 851 526 664 527 598 613 664 782 527 851 526 527 526
 664 851 848 851 782 527 548 851 613 664 782 782 782 897 605 851 527 527
 590 526 851 851 681 480 526 851 527 664 527 851 630 664]"
n02277742,0.9207692307692308,0.84,0.9930769230769231,0.96,[322 322 322 ... 322 322 326],"[322 322 322 322 322 322 322 322 326 322 133 322 322 322 322 322 322 322
 322 309 322 322 309 322 326 322 322 322 322 322 322 322 322 326 322 946
 322 946 322 322 322 322 322 322 322 322 322 322 322 322]"
n02105855,0.8023076923076923,0.68,0.9761538461538461,0.94,[434 230 230 ... 230 230 230],"[230 230 230 230 230 230 230 247 204 176 230 230 230 231 240 230 231 230
 231 231 230 231 263 231 231 230 230 250 230 230 230 230 230 230 230 230
 231 230 230 230 230 162 230 230 230 230 230 230 231 230]"
n02167151,0.71,0.66,0.9838461538461538,0.98,[302 305 302 ... 302 302 302],"[302 300 302 302 302 302 302 300 300 302 302 300 302 302 302 306 302 302
 302 300 302 302 302 300 302 302 302 300 305 302 302 308 302 302 304 300
 302 305 302 302 302 302 304 302 307 302 302 314 302 305]"
n02487347,0.796923076923077,0.76,0.9461538461538461,0.86,[373 373 373 ... 373 373 373],"[373 373 372 373 373 382 373 373 373 295 373 374 373 373 373 373 374 373
 373 373 382 362 373 373 373 373 373 370 373 373 373 378 373 373 373 337
 373 373 373 373 370 373 373 373 373 373 373 373 373 378]"
n04584207,0.7746153846153846,0.88,0.9053846153846153,0.98,[903 903 903 ... 903 903 610],"[903 903 578 903 903 638 903 903 903 903 903 903 903 903 903 552 678 903
 903 903 903 638 903 903 903 903 903 903 903 903 903 903 903 903 903 903
 903 903 903 903 903 903 199 903 903 903 903 903 903 903]"
