,mean_top1_train,mean_top1_val,mean_top5_train,mean_top5_val,pred_train,pred_val
n02025239,0.9407692307692308,0.96,0.9830769230769231,0.98,[139 139 139 ... 139 139 139],"[140 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139
 428 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139
 139 139 139 139 139 139 139 139 139 139 139 139 139 139]"
n03832673,0.53,0.12,0.8707692307692307,0.78,[620 620 620 ... 284 532 681],"[592 620 620 508 620 633 982 681 662 620 620 664 620 620 620 620 620 722
 620 508 893 922 620 620 681 620 681 423 620 696 527 620 620 620 664 664
 508 664 620 527 526 527 681 782 620 681 620 681 771 620]"
n04404412,0.666923076923077,0.56,0.9223076923076923,0.88,[851 851 851 ... 851 851 896],"[851 851 598 827 851 851 851 851 851 664 851 549 664 598 851 851 851 851
 851 851 664 782 894 851 860 851 467 851 648 921 851 851 664 461 598 851
 851 782 495 579 851 851 495 851 851 655 851 851 598 851]"
n02106382,0.7492307692307693,0.66,0.9561538461538461,0.9,[248 233 233 ... 233 199 192],"[233 197 233 233 233 183 189 233 267 233 233 233 233 233 233 233 197 233
 233 233 233 233 233 183 226 850 233 233 210 197 233 233 233 183 233 233
 233 197 233 233 267 233 233 233 233 249 256 233 197 202]"
n02233338,0.7976923076923077,0.64,0.9315384615384615,0.82,[314 314  79 ... 314 314 314],"[314  71 314 314 308 310 314 314 303 599 310 314 314 677 314 819 314 314
 314 903 314 310 314 314 314 314 861 310 314 314 674 199 314 314 310 314
 314 314 314 885 302 480 314 314 314 314 314 314 314 314]"
n02701002,0.8184615384615385,0.9,0.9653846153846154,0.96,[407 407 571 ... 407 554 407],"[407 407 407 407 407 734 407 407 407 407 407 555 407 407 407 407 407 407
 407 407 407 407 407 699 407 407 555 407 407 407 407 407 407 407 407 407
 407 407 407 734 407 407 407 407 407 407 407 407 407 407]"
n03425413,0.8930769230769231,0.86,0.9723076923076923,0.92,[707 571 571 ... 571 571 571],"[571 571 571 571 571 571 571 571 571 982 571 425 571 844 571 571 571 571
 571 571 489 571 571 571 571 571 571 571 863 760 571 571 571 571 571 571
 571 571 410 571 571 571 571 571 571 571 571 571 571 571]"
n04118538,0.9015384615384615,0.8,0.9638461538461538,0.92,[768 768 768 ... 768 768 768],"[768 805 768 768 805 842 768 900 768 768 768 768 768 768 768 768 768 768
 768 768 552 768 414 768 768 768 982 768 768 768 768 768 768 768 768 455
 768 768 768 768 768 768 768 464 768 768 971 768 768 768]"
n03998194,0.8946153846153846,0.72,0.9653846153846154,0.9,[741 741 741 ... 741 741 799],"[741 741 741 741 721 741 741 741 741 539 741 459 887 917 741 741 533 735
 741 741 741 894 741 698 741 741 741 741 741 775 741 741 741 741 741 721
 741 741 611 741 741 977 741 670 741 741 741 741 741 741]"
n01688243,0.8325872873769025,0.68,0.9409131602506714,0.8,[ 43  43 220 ...  43 105  43],"[ 39  42  43  43 885  43  43  40  43  43  43  43  43  47  43  43  32  43
  42 105  39  43  39 792  43  43  43  43  43  43  43  43  43  44  43  43
  43 420  43  43 118 792  43  43 105  43  43  43  43  43]"
