wordnet_id,n_faces_raw_audit,n_faceswithages_audit,n_train_audit,mean_age_audit,std_age_audit,skew_age_audit,n_faceswithages_audit_2,n_train_audit_2,mean_gender_audit,std_gender_audit,skew_gender_audit
n01440764,2824,789,1300,35.576592604388914,13.375838896185412,0.09683989188777403,789,1300,0.9118702904981085,0.24172871424598794,-2.977989087634704
n01443537,3307,10,1300,29.425552430203275,15.690299898153539,0.9624988444522183,10,1300,0.5732011851854619,0.364168564689794,-0.2083230832789059
n01484850,1389,15,1300,32.61697981779432,7.514875629464379,1.1361833033382571,15,1300,0.7690528033922112,0.3620721187069827,-1.302524140796854
n01491361,1817,8,1300,30.716929614582323,5.821957665837976,1.2021712744732802,8,1300,0.8686729791807006,0.348788098536584,-2.2657377477446254
n01494475,1846,27,1300,29.862275443601614,7.151390014611577,-1.171220962867082,27,1300,0.867866586324655,0.2985374074613209,-2.346808267594287
n01496331,2515,14,1300,34.361441969827275,10.489030830977368,0.44606496333050294,14,1300,0.7308606828862266,0.379568905214549,-1.1078635952036842
n01498041,2070,112,1300,31.218607668631623,8.59283517940107,0.47209934918115537,112,1300,0.6290591791091299,0.4254738729400821,-0.49150176106864285
n01514668,2564,37,1300,39.848489163360746,14.06409059913858,0.09749316544573193,37,1300,0.9261232718472944,0.22488526765314812,-3.691349518647047
n01514859,2775,20,1300,32.12527991073798,11.747154128751333,0.1318169116822569,20,1300,0.3916031432803715,0.404520384828587,0.5524318485568278
n01518878,1778,8,1300,29.147057544096093,9.989831791895886,1.6955934213579935,8,1300,0.8591040624305603,0.32086294033065754,-2.178462686992845
n01530575,2640,5,1300,38.90611707516711,7.3210570615872435,0.47844117955704624,5,1300,0.587898021936416,0.22835029727806444,0.008517497340307094
n01531178,1642,1,1300,27.027372368288837,0.0,0.0,1,1300,0.912128329277038,,0.0
n01532829,2297,3,1300,52.424908843984184,3.715955380861132,-0.7069155060871944,3,1300,0.45974742497007,0.43989235692131934,0.174473119493552
n01534433,2158,1,1300,41.623520810835714,0.0,0.0,1,1300,0.45267176628112704,,0.0
n01537544,1685,4,1300,31.57324504296968,6.301516376296294,0.42012982425819445,4,1300,0.25104143243515825,0.48871678333837687,1.1543808761908814
n01558993,2405,2,1300,44.01175864824492,3.5409570481330945,0.0,2,1300,0.7711957395076745,0.3222024151815968,7.334303528055199e-16
n01560419,2024,2,1300,39.070068310032084,6.768603426305063,0.0,2,1300,0.6913000047206875,0.3531311213180429,3.3426316702168667e-16
n01580077,2068,2,1300,48.94023854643663,8.075142543586736,0.0,2,1300,0.8517611920833585,0.20810432135423856,0.0
n01582220,1513,2,1300,38.82650974178591,21.42981944534563,0.0,2,1300,0.514575002714991,0.6839480177946564,3.6805879959567553e-16
n01592084,1886,1,1300,27.67664515802926,0.0,0.0,1,1300,0.9364566206932061,,0.0
n01601694,1623,0,1300,,,,0,1300,,,
n01608432,1225,5,1300,36.52848599356714,10.49319285182004,0.49009837654673694,5,1300,0.9594029784202572,0.06993798652851795,-1.357176494901935
