class_number,wordnet_id,label,uri,n_train,n_val,n_humans_train,n_humans_val,Nunique_humans_train,gender_skewness_train,age_min_train,age_max_train,n_women_train,mean_age_women_train,std_age_women_train,n_men_train,mean_age_men_train,std_age_men_train,age_min_val,age_max_val,Nunique_humans_val,gender_skewness_val,n_women_val,mean_age_women_val,std_age_women_val,n_men_val,mean_age_men_val,std_age_men_val,age_min,age_max,n_faces_raw_audit,n_faceswithages_audit,n_train_audit,mean_age_audit,std_age_audit,skew_age_audit,n_faceswithages_audit_2,n_train_audit_2,mean_gender_audit,std_gender_audit,skew_gender_audit,mean_nsfw_train,mean_nsfw_val,std_nsfw_train,std_nsfw_val,mean_top1_train_r50,mean_top1_val_r50,mean_top5_train_r50,mean_top5_val_r50,pred_train_r50,pred_val_r50,mean_top1_train_nnm,mean_top1_val_nnm,mean_top5_train_nnm,mean_top5_val_nnm,pred_train_nnm,pred_val_nnm,class_number_umap,label_renamed_glove,umap_x,umap_y
0,n01440764,"tench, Tinca tinca",http://wordnet-rdf.princeton.edu/wn30/01440764-n,1300,50,779,22,794,-2.1875420046930643,11.0,82.0,104.0,27.884615384615387,9.730651892776851,690.0,40.26231884057971,11.346727071043587,18.0,59.0,22,-1.6499158227686117,4.0,24.25,6.849574196011505,18.0,38.611111111111114,8.513925540229675,18.0,59.0,2824,789,1300,35.576592604388914,13.375838896185412,0.09683989188777403,789,1300,0.9118702904981084,0.24172871424598796,-2.9779890876347035,0.07377591441817591,0.1246119768391327,0.16266347282934396,0.1878002290730264,0.9069230769230768,0.82,0.9807692307692308,0.96,[  0 389   0 ...   0   0   0],"[  0   0   0   0   0 997   0 394   0   0   0   0   0   0 302   0   0   0
   0   0   0  48   0   0 955   0   0   0   0   0   0   0   0   0   0   0
   0   0 234   0   0 133   0   0   0 390   0 327   0   0]",0.9223076923076924,0.86,0.9823076923076924,0.92,[  0 389   0 ...   0 391   0],"[  0   0   0   0   0  30   0 391   0   0   0   0   0   0   0   0   0   0
   0   0   0  48   0   0   0   0   0   0   0   0   0   0 391   0   0   0
   0   0 693   0   0 133   0   0   0   0   0 329   0   0]",0,"tench, Tinca tinca",1.2777907,8.856661
1,n01443537,"goldfish, Carassius auratus",http://wordnet-rdf.princeton.edu/wn30/01443537-n,1300,50,8,1,8,-0.5163977794943223,14.0,41.0,3.0,24.33333333333333,9.609023536933051,5.0,30.6,7.231873892705817,24.0,24.0,1,0.0,,,,1.0,24.0,,14.0,41.0,3307,10,1300,29.425552430203275,15.690299898153539,0.9624988444522184,10,1300,0.5732011851854619,0.364168564689794,-0.2083230832789059,0.030087212575426413,0.052769110560584524,0.09312750855773352,0.13581437145989295,0.9323076923076924,0.8,0.9769230769230768,0.9,[1 1 1 ... 1 1 1],"[  1 819   1   1   1   1   1  79   1   1 989   1 107   1   1   6   1   1
   1   1   1   1   1   1   1 794   1   1   1   1   1 449 883   1   1   1
 111   1   1   1   1   1   1   1   1   1   1 115   1   1]",0.943076923076923,0.78,0.976153846153846,0.92,[392   1   1 ...   1   1   1],"[  1 983   1   1   1   1   1 328   1   1  88   1 107   1   1   6 534   1
   1   1   1   1   1   1   1 794   1   1   1   1   1   1 725   1   1 879
 111   1   1   1   1   1   1   1   1   1   1  89   1   1]",1,"goldfish, Carassius auratus",1.3140072,8.63837
2,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",http://wordnet-rdf.princeton.edu/wn30/01484850-n,1300,50,14,0,16,-2.2677868380553634,9.0,63.0,2.0,26.5,3.5355339059327378,14.0,35.142857142857146,14.362649974350633,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,63.0,1389,15,1300,32.616979817794316,7.514875629464378,1.1361833033382571,15,1300,0.7690528033922112,0.3620721187069827,-1.302524140796854,0.019657819106328838,0.02531576833204781,0.07259515229385305,0.08625637412841249,0.913846153846154,0.88,0.9838461538461538,0.98,[  2   2   2 ...   2   2 983],"[  2   3   4   2 148   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   4   2   2   3   2   2   2   2   2   2   2   2   2   2   2   2   2
   2   4   2   2   2   2   2   2   2   2   2   2   2   2]",0.8461538461538461,0.86,0.9823076923076924,1.0,[  2   2   2 ...   2   2 983],"[  2   3   4   2   2   2   2   2   2   2   2   2 150   2   2   2   2   2
   2   3   2   2   3   2   2   2   2   2   2   2   4   2   2   2   2   2
   2 728   2   2   2   2   2   2   2   2   2   2   2   2]",2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2.9011705,7.574693700000001
3,n01491361,"tiger shark, Galeocerdo cuvieri",http://wordnet-rdf.princeton.edu/wn30/01491361-n,1300,50,6,0,6,-1.7888543819998322,19.0,44.0,1.0,19.0,,5.0,37.6,4.159326868617084,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,44.0,1817,8,1300,30.716929614582323,5.821957665837977,1.2021712744732802,8,1300,0.8686729791807006,0.348788098536584,-2.265737747744625,0.02104210505609265,0.014956438832668938,0.06692388356367153,0.0334232764333259,0.7492307692307693,0.64,0.976153846153846,0.92,[2 2 3 ... 3 3 3],"[983   3 147   3   3   3   2   3   2   3   3   2   2   3   3   3   2   3
   3   2   3 150   3   3   4   3   2   3   3   4   3   3   3   3   3 983
 296   2   2   3   3 150   3   3   3   3   3   3   2   3]",0.8092307692307692,0.72,0.9792307692307692,0.96,[3 2 3 ... 3 3 3],"[983   3 147   3   3   3   2   3   2   3   3   3 149   3   3   3   3   3
   3   2   3   4   3   3   3   3   2   3   3   4   3   3   6   3   3   3
   6   2   3   3   4 149   3   3   3   3   3   3   3   3]",3,"tiger shark, Galeocerdo cuvieri",2.7503452,8.982529
4,n01494475,"hammerhead, hammerhead shark",http://wordnet-rdf.princeton.edu/wn30/01494475-n,1300,50,15,1,18,-1.7888543819998322,4.0,50.0,3.0,27.33333333333333,4.0414518843273814,15.0,30.2,11.302338569643767,17.0,39.0,3,-0.7071067811865472,1.0,17.0,,2.0,28.5,14.849242404917495,17.0,39.0,1846,27,1300,29.862275443601607,7.151390014611577,-1.171220962867082,27,1300,0.867866586324655,0.2985374074613209,-2.346808267594287,0.04984295767456752,0.04757098865473381,0.13883629710639506,0.14156554743487015,0.8415384615384616,0.72,0.9707692307692308,0.92,[3 4 4 ... 4 4 4],"[ 50 983   4   4   2   4   4 558   4   4   4   4 391   4   2   4   4   4
   4   4   4   4   4 391   4   4   4   4   4   4   4   2 394 913   4   4
 150   4 913   4   3   4   4   4   4   4   4 983   4   4]",0.8707692307692307,0.82,0.9684615384615384,1.0,[149   4   4 ...   4   4   4],"[  3   4   4   4   4   4   4 389   4   4   4   4 587   4   2   4   4   4
   4   4   4   4   4 395   4   4   4   4   4   4   4   4 394 983   4   4
 150   4   4   4   4   4   4   4   4   4   4   4   4 983]",4,"hammerhead, hammerhead shark",2.596895,8.917596000000001
5,n01496331,"electric ray, crampfish, numbfish, torpedo",http://wordnet-rdf.princeton.edu/wn30/01496331-n,1300,50,6,0,7,0.2886751345948129,15.0,39.0,4.0,26.25,7.6757192931129685,3.0,33.0,7.937253933193773,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,39.0,2515,14,1300,34.361441969827275,10.489030830977367,0.4460649633305029,14,1300,0.7308606828862266,0.379568905214549,-1.1078635952036842,0.010828899451228963,0.006040074446160588,0.04498753632811764,0.01616090282927838,0.7207692307692307,0.66,0.9415384615384615,0.96,[674   6   5 ...   5   5   5],"[828 461   5 112   5 109   5   6   5   5   5   5   5   5   3   5   5   5
 394   5   5 329   5   6   6 148   5   6   5 394   6   5   5   5   5   5
   6   5   5   5 390   5   5   5   6   5   5   5   5   5]",0.7415384615384616,0.68,0.9546153846153846,0.9,[6 5 5 ... 5 5 5],"[  5 406   5   5   6   5   5   6   5   5   5   5   5   5   3   5   5   5
   1   5   5 329   6   6   5 150   5   6   5   3   5   5   5   5   5   5
  33   5 684   5   5   5   5   5   6   6  28   5   5   5]",5,"electric ray, crampfish, numbfish, torpedo",3.7207692000000003,4.670479
6,n01498041,stingray,http://wordnet-rdf.princeton.edu/wn30/01498041-n,1300,50,54,2,75,-2.1572774865200253,17.0,66.0,10.0,24.7,6.815831244650616,65.0,35.692307692307686,9.400669984306763,29.0,36.0,2,0.0,1.0,29.0,,1.0,36.0,,17.0,66.0,2070,112,1300,31.218607668631627,8.59283517940107,0.4720993491811554,112,1300,0.6290591791091299,0.4254738729400821,-0.4915017610686429,0.056243401434150186,0.04568651702145587,0.1586252883655545,0.1163551710049733,0.8584615384615385,0.72,0.9707692307692308,0.92,[  6   6   5 ... 851   6   6],"[  6   6   5   6 147   6   6   6   6 394   6   6   5   6 445   6 394 983
   6   6   6   6   6   6   6 460   6   6   6   6 842   6 419 983   6 425
   5   6   6   6   6   6   6   6   6   6   6 983   6   6]",0.8561538461538462,0.8,0.9738461538461538,0.96,[6 6 5 ... 6 6 6],"[  6   6 329   6 791   6   6   6   6  33   6   6 390   6   6   6   6 983
   6   6   6   6   6   6   6 460   6   6   6   5   6   6   6   4   6   6
   5   6   6   6   6   6   6   6   6   6 394   6   6   6]",6,stingray,2.6672892999999998,9.067996
7,n01514668,cock,http://wordnet-rdf.princeton.edu/wn30/01514668-n,1300,50,25,0,33,-1.9438547858755881,16.0,58.0,5.0,25.4,4.774934554525329,28.0,34.285714285714285,11.787806452108931,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,58.0,2564,37,1300,39.848489163360746,14.064090599138579,0.09749316544573193,37,1300,0.9261232718472944,0.22488526765314806,-3.691349518647047,0.024335160621898142,0.04589834025988239,0.08390432796499861,0.1489191443277057,0.8869230769230769,0.78,0.9807692307692308,0.94,[7 7 7 ... 7 7 8],"[  7   8   7   7   7   7   7   7   7   7  90   7 716   8   7   7   6   7
 224  84   7   7   8   7   7   7   7   7   7   7   7   7   7   7   8   7
   7   8   7   7   7   7   7   7 193   7   7   7   7   7]",0.8492307692307692,0.7,0.976153846153846,0.92,[7 7 7 ... 7 7 7],"[  7   8   7   7   7   7   7   7   7   7  90   7 442   8   7   8 361   7
   7   7   7   7   8   7   8   7   7   7   7   7   7   8   7   7   8   7
   7   8  83   7   7   7   7   7 471   7   7   8   7  80]",7,cock,2.765658,7.463042
8,n01514859,hen,http://wordnet-rdf.princeton.edu/wn30/01514859-n,1300,50,11,0,11,-2.846049894151541,16.0,38.0,1.0,20.0,,10.0,29.0,8.856886837057615,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,38.0,2775,20,1300,32.12527991073798,11.747154128751333,0.1318169116822569,20,1300,0.3916031432803715,0.40452038482858704,0.5524318485568278,0.01799004693488629,0.024790573072823462,0.0662589789031088,0.094626530685794,0.8176923076923077,0.8,0.976153846153846,0.9,[8 8 8 ... 8 8 8],"[  8   8   8   8   8   8   8   8 425   8   8 136   8   8   8   8   7   7
   8   8   8  24   8   8   8   8   7   8 702   8   8   8   8   8   8   8
   8   8   8 360   8   8   8   8 552   8   7   8   8   8]",0.8446153846153847,0.78,0.9738461538461538,0.92,[8 8 8 ... 8 8 8],"[  8   8   8   8   8   8   8   8 425   8   8 137   8   8   8   8   8   7
   7   8   8   8   8   8   8 912   8   8 594   8 611   8   8   8   8   8
   8   8   8 337   8   8   8   7   7   8   7   8   8   8]",8,hen,3.4674826000000003,8.407078
9,n01518878,"ostrich, Struthio camelus",http://wordnet-rdf.princeton.edu/wn30/01518878-n,1300,50,2,1,2,0.0,38.0,39.0,,,,2.0,38.5,0.7071067811865476,33.0,33.0,1,0.0,,,,1.0,33.0,,38.0,39.0,1778,8,1300,29.14705754409609,9.989831791895886,1.6955934213579935,8,1300,0.8591040624305603,0.32086294033065754,-2.178462686992845,0.019518933889471717,0.020044678167323585,0.07340867957778498,0.0343895769301794,0.946923076923077,0.98,0.9884615384615384,1.0,[345 354   9 ...   9   9   9],"[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9 489   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9   9   9   9]",0.9653846153846154,0.96,0.99,0.98,[9 9 9 ... 9 9 9],"[  9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9   9
   9   9   9   9   9   9   9   9   9   9   9 489   9   9   9   9   9   9
   9 354   9   9   9   9   9   9   9   9   9   9   9   9]",9,"ostrich, Struthio camelus",2.555806,8.905559
