class_ind,class_name,n_images
0,a-bomb,2426
1,a-horizon,1866
2,a-line,2184
3,a._a._michelson,1045
4,a._a._milne,1599
5,a._conan_doyle,1361
6,a._e._burnside,426
7,a._e._housman,278
8,a._e._kennelly,78
9,a._e._w._mason,429
10,a._noam_chomsky,1193
11,a._testudineus,198
12,a.e.,2458
13,a.j._cook,1302
14,a_battery,1907
15,a_capella_singing,1018
16,a_cappella_singing,1448
17,a_horizon,2133
18,a_kempis,1683
19,aa,2265
20,aachen,2114
21,aaland_islands,625
22,aalborg,2341
23,aalii,116
24,aaliyah,1817
25,aalost,13
26,aalto,1772
27,aamir_khan,1630
28,aar,2657
29,aardvark,2237
30,aardwolf,1151
31,aare,2540
32,aare_river,905
33,aarhus,2265
34,aaron,2219
35,aaron_burr,919
36,aaron_copland,1131
37,aaron_montgomery_ward,71
38,aarons_rod,449
39,aas,2203
40,ab,2287
41,aba,2226
42,aba_cloth,179
43,abaca,1553
44,abacus,1879
45,abadan,1601
46,abalone,2187
47,abandoned_infant,284
48,abandoned_person,646
49,abandoned_ship,1034
50,abatis,738
51,abator,255
52,abattis,287
53,abattoir,1553
54,abaya,1406
55,abazi_avni,96
56,abbacy,200
57,abbe,1869
58,abbe_condenser,201
59,abbe_lane,716
60,abbess,1490
61,abbey,2144
62,abbot,2077
63,abbott_lawrence_lowell,22
64,abbreviator,50
65,abc,2260
66,abcs,2154
67,abdias,716
68,abdicator,41
69,abdomen,1613
70,abdominal,1996
71,abdominal_aorta,1315
72,abdominal_breathing,338
73,abdominal_cavity,1168
74,abdominal_external_oblique_muscle,101
75,abdominal_muscle,1120
76,abdominal_nerve_plexus,8
77,abdominal_wall,1005
78,abducens,271
79,abducens_muscle,16
80,abducens_nerve,128
81,abducent,90
82,abducent_nerve,47
83,abductor,1370
84,abductor_muscle,171
85,abecedarian,558
86,abel,2316
87,abel_janszoon_tasman,86
88,abel_tasman,1902
89,abelard,1285
90,abele,1376
91,abelia,1238
92,abelmoschus_esculentus,263
93,abelmoschus_moschatus,150
94,abelmosk,9
95,aberdare,1437
96,aberdeen,2038
97,aberdeen_angus,1261
98,aberrant,1688
99,aberration,1493
100,abetter,952
101,abettor,55
102,abhishek_bachchan,1721
103,abhorrer,16
104,abidjan,1896
105,abies_alba,1013
106,abies_amabilis,206
107,abies_balsamea,823
108,abies_bracteata,132
109,abies_concolor,955
110,abies_fraseri,445
111,abies_grandis,563
112,abies_lasiocarpa,669
113,abies_lowiana,38
114,abies_venusta,4
115,abila,833
116,abilene,2131
117,abiogenesis,540
118,abiogenist,1
119,abjurer,69
120,abkhas,4
121,abkhaz,562
122,abkhazia,1921
123,ablactation,6
124,ablation,1224
125,able-bodied_seaman,163
126,able_seaman,1297
127,abm,1716
128,abnaki,542
129,abnegator,5
130,abney_level,187
131,abnormal_psychology,1139
132,abo,2155
133,abo_antibodies,28
134,abode,1890
135,abolitionism,823
136,abolitionist,1643
137,abomasum,230
138,abomination,1807
139,abominator,625
140,aboriginal,2014
141,aborigine,2131
142,aborticide,28
143,abortifacient,199
144,abortion-inducing_drug,6
145,abortion_pill,1072
146,abortionist,1017
147,abortus,981
148,abradant,73
149,abrader,578
150,abrading_stone,41
151,abraham,2429
152,abraham_lincoln,2347
153,abraham_stoker,357
154,abramis_brama,601
155,abrasion,1710
156,abrasive,1508
157,abrasive_material,958
158,abridger,516
159,abrocome,18
160,abrogator,10
161,abronia_elliptica,19
162,abronia_fragrans,95
163,abronia_latifolia,111
164,abronia_maritima,48
165,abronia_umbellata,128
166,abronia_villosa,215
167,abruptly-pinnate_leaf,3
168,abruzzi,1753
169,abruzzi_e_molise,68
170,abs,3036
171,abscission,440
172,absconder,414
173,abseiler,418
174,absentee,1459
175,absinth,1819
176,absinthe,1819
177,absinthe_oil,145
178,absolute,2044
179,absolute_alcohol,268
180,absolutism,1383
181,absolutist,1061
182,absolver,174
183,absorbate,9
184,absorbent,1269
185,absorbent_cotton,1430
186,absorbent_material,877
187,absorber,1524
188,absorption,1442
189,absorption_band,1041
190,absorption_indicator,102
191,abstainer,105
192,abstinent,924
193,abstract,2191
194,abstract_art,2362
195,abstract_artist,1749
196,abstracter,138
197,abstraction,2414
198,abstractionism,479
199,abstractionist,358
200,abstractor,495
201,abstruseness,251
202,abstrusity,30
203,abu_ali_al-husain_ibn_abdallah_ibn_sina,21
204,abu_dhabi,2099
205,abudefduf_saxatilis,212
206,abuja,2272
207,abukir,220
208,abukir_bay,13
209,abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,0
210,abuser,2028
211,abutilon_theophrasti,369
212,abutment,1741
213,abutment_arch,230
214,abutter,378
215,aby_moritz_warburg,1
216,aby_warburg,368
217,abydos,1673
218,abyla,171
219,abysm,253
220,abyss,2140
221,abyssal_zone,114
222,abyssinia,1365
223,abyssinian,1781
224,abyssinian_banana,147
225,abyssinian_cat,1723
226,ac,2252
227,acacia,2041
228,acacia_auriculiformis,156
229,acacia_cambegei,0
230,acacia_catechu,215
231,acacia_dealbata,986
232,acacia_farnesiana,402
233,acacia_melanoxylon,515
234,acacia_pycnantha,201
235,acacia_xanthophloea,110
236,academic,2699
237,academic_administrator,1247
238,academic_costume,306
239,academic_gown,729
240,academic_robe,325
241,academician,1326
242,academy,2235
243,acadia,2276
244,acadia_national_park,1884
245,acadian,1752
246,acalypha_virginica,117
247,acanthion,19
248,acanthisitta_chloris,50
249,acanthocephalan,54
250,acanthocereus_pentagonus,22
251,acanthocereus_tetragonus,41
252,acanthocybium_solandri,212
253,acanthocyte,68
254,acanthophis_antarcticus,164
255,acanthopterygian,2
256,acanthoscelides_obtectus,185
257,acanthurus_chirurgus,76
258,acanthus,1633
259,acanthus_mollis,812
260,acapulco,2390
261,acapulco_de_juarez,317
262,acapulco_gold,871
263,acaracide,6
264,acaricide,507
265,acarid,139
266,acarine,107
267,acaroid_resin,4
268,acarus,369
269,acaryote,1
270,accaroid_resin,1
271,accelerator,2208
272,accelerator_factor,156
273,accelerator_pedal,1286
274,accelerometer,1350
275,accentor,926
276,acceptor,1439
277,acceptor_rna,39
278,access,2208
279,access_road,1397
280,accessary,1819
281,accession,1801
282,accessory,2142
283,accessory_after_the_fact,76
284,accessory_before_the_fact,22
285,accessory_cephalic_vein,4
286,accessory_during_the_fact,19
287,accessory_fruit,519
288,accessory_hemiazygos_vein,4
289,accessory_hemiazygous_vein,2
290,accessory_nerve,300
291,accessory_vertebral_vein,0
292,accho,133
293,accidence,552
294,accident_surgery,983
295,accipiter_cooperii,549
296,accipiter_gentilis,1097
297,accipiter_nisus,1183
298,accipitriformes,495
299,acclimation,1627
300,acclimatisation,862
301,acclimatization,1752
302,acclivity,280
303,accommodation,2243
304,accommodation_endorser,3
305,accommodation_ladder,195
306,accommodation_reflex,35
307,accommodator,765
308,accompanist,1435
309,accompanying_vein,30
310,accompanyist,62
311,accomplice,1769
312,accordion,1918
313,accordion_door,408
314,accordionist,1651
315,accouchement,1689
316,accoucheur,329
317,accoucheuse,88
318,account_executive,1557
319,account_representative,1344
320,accountant,1524
321,accounting_principle,322
322,accounting_standard,970
323,accouterment,763
324,accoutrement,1248
325,accra,2377
326,accretion,1161
327,accroides,2
328,accroides_gum,2
329,accroides_resin,1
330,acculturation,956
331,accumulation,2100
332,accumulator,1360
333,accumulator_register,115
334,accusative,718
335,accusative_case,73
336,accused,1436
337,accuser,1805
338,ace,2243
339,ace_inhibitor,744
340,ace_of_clubs,1624
341,ace_of_diamonds,1576
342,ace_of_hearts,1336
343,ace_of_spades,1405
344,acebutolol,161
345,acellular_slime_mold,17
346,acentric_chromosome,16
347,acer_argutum,65
348,acer_campestre,1271
349,acer_circinatum,557
350,acer_glabrum,248
351,acer_japonicum,907
352,acer_macrophyllum,917
353,acer_negundo,1286
354,acer_negundo_californicum,31
355,acer_palmatum,1541
356,acer_pennsylvanicum,66
357,acer_platanoides,1277
358,acer_pseudoplatanus,1185
359,acer_rubrum,1234
360,acer_saccharinum,1188
361,acer_saccharum,1281
362,acer_spicatum,303
363,acerate_leaf,37
364,acerola,1397
365,acervulus,92
366,acetabulum,1124
367,acetal,1828
368,acetaldehyde,905
369,acetaldol,3
370,acetamide,846
371,acetaminophen,1342
372,acetanilid,44
373,acetanilide,233
374,acetate,1901
375,acetate_disk,109
376,acetate_rayon,939
377,acetic_acid,1456
378,acetic_anhydride,482
379,acetin,47
380,acetoacetic_acid,73
381,acetone,1308
382,acetone_body,73
383,acetophenetidin,5
384,acetphenetidin,1
385,acetum,433
386,acetyl,1274
387,acetyl_chloride,178
388,acetyl_group,190
389,acetyl_radical,30
390,acetylation,745
391,acetylcholine,1256
392,acetylene,1465
393,acetylsalicylic_acid,480
394,achaean,612
395,achaian,95
396,achene,1451
397,acheron,1475
398,acherontia_atropos,573
399,acheson,1410
400,acheson_process,27
401,acheta_assimilis,24
402,acheta_domestica,241
403,achiever,1869
404,achille_ratti,114
405,achillea,1525
406,achillea_millefolium,1172
407,achillea_ptarmica,801
408,achilles_tendon,1242
409,achimenes,654
410,achira,401
411,achmad_sukarno,12
412,achoerodus_gouldii,14
413,achomawi,131
414,achondrite,729
415,achras_zapota,78
416,achromatic_lens,580
417,achromatin,2
418,achromycin,47
419,acicula,309
420,acid,2395
421,acid-base_balance,339
422,acid-base_equilibrium,176
423,acid-base_indicator,184
424,acid_anhydrides,208
425,acid_dye,1196
426,acid_halide,176
427,acid_head,1030
428,acid_hydrogen,1286
429,acidic_hydrogen,229
430,acidification,1341
431,acidophil,84
432,acidophile,165
433,acidophilus_milk,297
434,acinonyx_jubatus,1273
435,acinos_arvensis,97
436,acinus,523
437,acipenser_huso,32
438,acipenser_transmontanus,163
439,ack-ack,1669
440,ack-ack_gun,216
441,ackee,1172
442,aclinic_line,9
443,acme,2076
444,acocanthera_oblongifolia,0
445,acocanthera_oppositifolia,3
446,acocanthera_spectabilis,3
447,acocanthera_venenata,0
448,acolyte,1321
449,aconcagua,2222
450,aconite,1379
451,aconitum_lycoctonum,323
452,aconitum_napellus,1117
453,acores,2255
454,acorn,2069
455,acorn_barnacle,272
456,acorn_cup,595
457,acorn_squash,1160
458,acorn_tube,196
459,acorus_calamus,1084
460,acoustic,2626
461,acoustic_delay_line,76
462,acoustic_device,847
463,acoustic_gramophone,65
464,acoustic_guitar,1938
465,acoustic_impedance,715
466,acoustic_meatus,71
467,acoustic_modem,398
