class_number,label,wordnet_id,umap_x,umap_y,mean_top1_train_resnet50,mean_top1_val_resnet50,mean_nsfw_train,mean_nsfw_val
0,"tench, Tinca tinca",n01440764,1.916009,9.327967999999998,0.9069230769230768,0.82,0.07377591441817591,0.1246119768391327
1,"goldfish, Carassius auratus",n01443537,1.8821664,8.996172999999999,0.9323076923076924,0.8,0.030087212575426413,0.052769110560584524
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",n01484850,2.908814,7.305370299999999,0.913846153846154,0.88,0.019657819106328838,0.02531576833204781
3,"tiger shark, Galeocerdo cuvieri",n01491361,3.3146436,8.809127,0.7492307692307693,0.64,0.02104210505609265,0.014956438832668938
4,"hammerhead, hammerhead shark",n01494475,3.2195141,8.916373,0.8415384615384616,0.72,0.04984295767456752,0.04757098865473381
5,"electric ray, crampfish, numbfish, torpedo",n01496331,2.0101866999999998,4.266250599999999,0.7207692307692307,0.66,0.010828899451228963,0.006040074446160588
6,stingray,n01498041,3.242659,9.005116000000001,0.8584615384615385,0.72,0.056243401434150186,0.04568651702145587
7,cock,n01514668,2.6148124,7.204592,0.8869230769230769,0.78,0.024335160621898142,0.04589834025988239
8,hen,n01514859,3.4322373999999995,8.099441,0.8176923076923077,0.8,0.01799004693488629,0.024790573072823462
9,"ostrich, Struthio camelus",n01518878,3.1205835,8.525189,0.946923076923077,0.98,0.019518933889471717,0.020044678167323585
10,"brambling, Fringilla montifringilla",n01530575,3.18998,10.63245,0.9069230769230768,0.78,0.034038482970193774,0.03441926283114299
11,"goldfinch, Carduelis carduelis",n01531178,3.2594032000000004,10.476322999999999,0.9638461538461538,0.9,0.047081894171239536,0.031653271078575934
12,"house finch, linnet, Carpodacus mexicanus",n01532829,2.872651,7.139049000000001,0.8846153846153846,0.88,0.04583933112326244,0.04304587883205386
13,"junco, snowbird",n01534433,3.2156491000000003,10.458492,0.8915384615384615,0.96,0.05693075966495791,0.0387233209776241
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",n01537544,2.9403012000000004,7.565980000000001,0.953076923076923,0.86,0.045518881034148855,0.037468398862611135
15,"robin, American robin, Turdus migratorius",n01558993,3.1131572999999997,7.325553,0.9146153846153846,0.96,0.030946794647130668,0.03189079302566825
16,bulbul,n01560419,3.3300004,10.320717,0.8253846153846154,0.74,0.053923707432598944,0.06997009582670216
17,jay,n01580077,3.1476686000000003,7.160134299999999,0.9292307692307692,0.86,0.07479095893907872,0.04466487415753363
