class_number,wordnet_id,label,umap_x,umap_y
0,n01440764,"tench, Tinca tinca",1.2777907,8.856661
1,n01443537,"goldfish, Carassius auratus",1.3140072,8.63837
2,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",2.9011705,7.5746937
3,n01491361,"tiger shark, Galeocerdo cuvieri",2.7503452,8.982529
4,n01494475,"hammerhead, hammerhead shark",2.596895,8.917596
5,n01496331,"electric ray, crampfish, numbfish, torpedo",3.7207692,4.670479
6,n01498041,stingray,2.6672893,9.067996
7,n01514668,cock,2.765658,7.463042
8,n01514859,hen,3.4674826,8.407078
9,n01518878,"ostrich, Struthio camelus",2.555806,8.905559
10,n01530575,"brambling, Fringilla montifringilla",1.8639318,10.62605
11,n01531178,"goldfinch, Carduelis carduelis",2.1416147,10.444419
12,n01532829,"house finch, linnet, Carpodacus mexicanus",3.243087,7.3813224
13,n01534433,"junco, snowbird",2.1284554,10.35726
14,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",2.9834132,7.9130836
15,n01558993,"robin, American robin, Turdus migratorius",3.2842755,7.601793
16,n01560419,bulbul,2.1673236,10.413369
17,n01580077,jay,3.3076284,7.522665
18,n01582220,magpie,2.491501,10.117478
19,n01592084,chickadee,2.2106168,10.255207
20,n01601694,"water ouzel, dipper",0.9243274,5.9289975
21,n01608432,kite,4.156035,6.3582726
22,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",3.3184466,8.440788
23,n01616318,vulture,3.188005,8.8122425
24,n01622779,"great grey owl, great gray owl, Strix nebulosa",2.9017503,7.82126
25,n01629819,"European fire salamander, Salamandra salamandra",3.7807696,7.792562
26,n01630670,"common newt, Triturus vulgaris",3.212973,7.872351
27,n01631663,eft,3.196566,4.731346
28,n01632458,"spotted salamander, Ambystoma maculatum",2.609083,8.951489
29,n01632777,"axolotl, mud puppy, Ambystoma mexicanum",1.8932579,8.908837
30,n01641577,"bullfrog, Rana catesbeiana",3.2363613,8.980191
31,n01644373,"tree frog, tree-frog",2.2647078,8.443057
32,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.4965715,9.339891
33,n01664065,"loggerhead, loggerhead turtle, Caretta caretta",1.4922246,8.811673
34,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.6973933,8.770351
35,n01667114,mud turtle,1.7885125,8.382655
36,n01667778,terrapin,2.2244298,8.854168
37,n01669191,"box turtle, box tortoise",1.9789889,8.10247
38,n01675722,banded gecko,2.5422134,9.180738
39,n01677366,"common iguana, iguana, Iguana iguana",2.815498,8.3471775
40,n01682714,"American chameleon, anole, Anolis carolinensis",3.8609042,8.375744
41,n01685808,"whiptail, whiptail lizard",2.249896,9.52267
42,n01687978,agama,1.8975538,9.763137
43,n01688243,"frilled lizard, Chlamydosaurus kingi",2.500756,9.279217
44,n01689811,alligator lizard,2.4632437,9.116726
45,n01692333,"Gila monster, Heloderma suspectum",2.744427,8.457521
46,n01693334,"green lizard, Lacerta viridis",2.486736,8.437974
47,n01694178,"African chameleon, Chamaeleo chamaeleon",3.7707381,8.687944
48,n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",2.4288106,8.572015
49,n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus",3.587921,8.875361
50,n01698640,"American alligator, Alligator mississipiensis",3.8464296,8.312108
