class_number,label,wordnet_id
0,"tench, Tinca tinca",n01440764
1,"goldfish, Carassius auratus",n01443537
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",n01484850
3,"tiger shark, Galeocerdo cuvieri",n01491361
4,"hammerhead, hammerhead shark",n01494475
5,"electric ray, crampfish, numbfish, torpedo",n01496331
6,stingray,n01498041
7,cock,n01514668
8,hen,n01514859
9,"ostrich, Struthio camelus",n01518878
10,"brambling, Fringilla montifringilla",n01530575
11,"goldfinch, Carduelis carduelis",n01531178
12,"house finch, linnet, Carpodacus mexicanus",n01532829
13,"junco, snowbird",n01534433
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",n01537544
15,"robin, American robin, Turdus migratorius",n01558993
16,bulbul,n01560419
17,jay,n01580077
18,magpie,n01582220
19,chickadee,n01592084
20,"water ouzel, dipper",n01601694
21,kite,n01608432
22,"bald eagle, American eagle, Haliaeetus leucocephalus",n01614925
23,vulture,n01616318
24,"great grey owl, great gray owl, Strix nebulosa",n01622779
25,"European fire salamander, Salamandra salamandra",n01629819
26,"common newt, Triturus vulgaris",n01630670
27,eft,n01631663
28,"spotted salamander, Ambystoma maculatum",n01632458
29,"axolotl, mud puppy, Ambystoma mexicanum",n01632777
30,"bullfrog, Rana catesbeiana",n01641577
31,"tree frog, tree-frog",n01644373
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",n01644900
33,"loggerhead, loggerhead turtle, Caretta caretta",n01664065
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",n01665541
35,mud turtle,n01667114
36,terrapin,n01667778
37,"box turtle, box tortoise",n01669191
38,banded gecko,n01675722
39,"common iguana, iguana, Iguana iguana",n01677366
40,"American chameleon, anole, Anolis carolinensis",n01682714
41,"whiptail, whiptail lizard",n01685808
42,agama,n01687978
43,"frilled lizard, Chlamydosaurus kingi",n01688243
44,alligator lizard,n01689811
45,"Gila monster, Heloderma suspectum",n01692333
46,"green lizard, Lacerta viridis",n01693334
47,"African chameleon, Chamaeleo chamaeleon",n01694178
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",n01695060
49,"African crocodile, Nile crocodile, Crocodylus niloticus",n01697457
50,"American alligator, Alligator mississipiensis",n01698640
51,triceratops,n01704323
52,"thunder snake, worm snake, Carphophis amoenus",n01728572
53,"ringneck snake, ring-necked snake, ring snake",n01728920
54,"hognose snake, puff adder, sand viper",n01729322
55,"green snake, grass snake",n01729977
56,"king snake, kingsnake",n01734418
57,"garter snake, grass snake",n01735189
58,water snake,n01737021
59,vine snake,n01739381
60,"night snake, Hypsiglena torquata",n01740131
61,"boa constrictor, Constrictor constrictor",n01742172
62,"rock python, rock snake, Python sebae",n01744401
63,"Indian cobra, Naja naja",n01748264
64,green mamba,n01749939
65,sea snake,n01751748
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",n01753488
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",n01755581
68,"sidewinder, horned rattlesnake, Crotalus cerastes",n01756291
69,trilobite,n01768244
70,"harvestman, daddy longlegs, Phalangium opilio",n01770081
71,scorpion,n01770393
72,"black and gold garden spider, Argiope aurantia",n01773157
73,"barn spider, Araneus cavaticus",n01773549
74,"garden spider, Aranea diademata",n01773797
75,"black widow, Latrodectus mactans",n01774384
76,tarantula,n01774750
77,"wolf spider, hunting spider",n01775062
78,tick,n01776313
79,centipede,n01784675
80,black grouse,n01795545
81,ptarmigan,n01796340
82,"ruffed grouse, partridge, Bonasa umbellus",n01797886
83,"prairie chicken, prairie grouse, prairie fowl",n01798484
84,peacock,n01806143
85,quail,n01806567
86,partridge,n01807496
87,"African grey, African gray, Psittacus erithacus",n01817953
88,macaw,n01818515
