class_number,wordnet_id,label,uri,n_train,n_val,n_humans_train,n_humans_val,Nunique_humans_train,gender_skewness_train,age_min_train,age_max_train,n_women_train,mean_age_women_train,std_age_women_train,n_men_train,mean_age_men_train,std_age_men_train,age_min_val,age_max_val,Nunique_humans_val,gender_skewness_val,n_women_val,mean_age_women_val,std_age_women_val,n_men_val,mean_age_men_val,std_age_men_val,age_min,age_max
0,n01440764,"tench, Tinca tinca",http://wordnet-rdf.princeton.edu/wn30/01440764-n,1300,50,779,22,794,-2.187542004693064,11.0,82.0,104.0,27.884615384615383,9.730651892776853,690.0,40.26231884057971,11.346727071043587,18.0,59.0,22,-1.6499158227686117,4.0,24.25,6.849574196011505,18.0,38.611111111111114,8.513925540229675,18.0,59.0
1,n01443537,"goldfish, Carassius auratus",http://wordnet-rdf.princeton.edu/wn30/01443537-n,1300,50,8,1,8,-0.5163977794943223,14.0,41.0,3.0,24.333333333333332,9.60902353693305,5.0,30.6,7.231873892705818,24.0,24.0,1,0.0,,,,1.0,24.0,,14.0,41.0
2,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",http://wordnet-rdf.princeton.edu/wn30/01484850-n,1300,50,14,0,16,-2.267786838055363,9.0,63.0,2.0,26.5,3.5355339059327378,14.0,35.142857142857146,14.362649974350637,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,63.0
3,n01491361,"tiger shark, Galeocerdo cuvieri",http://wordnet-rdf.princeton.edu/wn30/01491361-n,1300,50,6,0,6,-1.7888543819998322,19.0,44.0,1.0,19.0,,5.0,37.6,4.159326868617084,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,44.0
4,n01494475,"hammerhead, hammerhead shark",http://wordnet-rdf.princeton.edu/wn30/01494475-n,1300,50,15,1,18,-1.7888543819998322,4.0,50.0,3.0,27.333333333333332,4.041451884327381,15.0,30.2,11.302338569643767,17.0,39.0,3,-0.7071067811865472,1.0,17.0,,2.0,28.5,14.849242404917497,17.0,39.0
5,n01496331,"electric ray, crampfish, numbfish, torpedo",http://wordnet-rdf.princeton.edu/wn30/01496331-n,1300,50,6,0,7,0.28867513459481287,15.0,39.0,4.0,26.25,7.675719293112969,3.0,33.0,7.937253933193772,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,39.0
6,n01498041,stingray,http://wordnet-rdf.princeton.edu/wn30/01498041-n,1300,50,54,2,75,-2.1572774865200253,17.0,66.0,10.0,24.7,6.8158312446506155,65.0,35.69230769230769,9.400669984306765,29.0,36.0,2,0.0,1.0,29.0,,1.0,36.0,,17.0,66.0
7,n01514668,cock,http://wordnet-rdf.princeton.edu/wn30/01514668-n,1300,50,25,0,33,-1.943854785875588,16.0,58.0,5.0,25.4,4.774934554525329,28.0,34.285714285714285,11.787806452108931,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,58.0
8,n01514859,hen,http://wordnet-rdf.princeton.edu/wn30/01514859-n,1300,50,11,0,11,-2.846049894151541,16.0,38.0,1.0,20.0,,10.0,29.0,8.856886837057615,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,38.0
9,n01518878,"ostrich, Struthio camelus",http://wordnet-rdf.princeton.edu/wn30/01518878-n,1300,50,2,1,2,0.0,38.0,39.0,,,,2.0,38.5,0.7071067811865476,33.0,33.0,1,0.0,,,,1.0,33.0,,38.0,39.0
10,n01530575,"brambling, Fringilla montifringilla",http://wordnet-rdf.princeton.edu/wn30/01530575-n,1300,50,3,0,3,-0.7071067811865475,16.0,37.0,1.0,16.0,,2.0,34.5,3.5355339059327378,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,37.0
11,n01531178,"goldfinch, Carduelis carduelis",http://wordnet-rdf.princeton.edu/wn30/01531178-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
12,n01532829,"house finch, linnet, Carpodacus mexicanus",http://wordnet-rdf.princeton.edu/wn30/01532829-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
13,n01534433,"junco, snowbird",http://wordnet-rdf.princeton.edu/wn30/01534433-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
14,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",http://wordnet-rdf.princeton.edu/wn30/01537544-n,1300,50,4,0,4,-1.1547005383792515,12.0,47.0,1.0,12.0,,3.0,40.333333333333336,10.692676621563628,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,47.0
15,n01558993,"robin, American robin, Turdus migratorius",http://wordnet-rdf.princeton.edu/wn30/01558993-n,1300,50,2,0,2,0.0,33.0,53.0,,,,2.0,43.0,14.142135623730951,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,53.0
16,n01560419,bulbul,http://wordnet-rdf.princeton.edu/wn30/01560419-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
17,n01580077,jay,http://wordnet-rdf.princeton.edu/wn30/01580077-n,1300,50,1,0,1,0.0,65.0,65.0,,,,1.0,65.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,65.0
18,n01582220,magpie,http://wordnet-rdf.princeton.edu/wn30/01582220-n,1300,50,2,1,2,0.0,26.0,30.0,1.0,26.0,,1.0,30.0,,19.0,19.0,1,0.0,1.0,19.0,,,,,26.0,30.0
19,n01592084,chickadee,http://wordnet-rdf.princeton.edu/wn30/01592084-n,1300,50,1,0,1,0.0,9.0,9.0,,,,1.0,9.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,9.0
