,mean_nsfw_train,mean_nsfw_val,std_nsfw_train,std_nsfw_val
n02025239,0.011244376337183178,0.0076488269673063766,0.04221824334580827,0.02140471243419055
n03832673,0.06113595862828787,0.04200615313520757,0.16192264125376643,0.12669989297209927
n04404412,0.03777267784096389,0.05862214064744876,0.12494435070376611,0.15818909076652907
n02106382,0.026122892362982035,0.019757440047283126,0.08216322235672857,0.05529851979042696
n02233338,0.04497183359913373,0.03831947149228654,0.14125696471350135,0.13644561956883727
n02701002,0.012723972139065485,0.010241671799922187,0.059348002219589385,0.018516813082060518
n03425413,0.030698024377410614,0.02204971852544986,0.10006795109150539,0.06210565842258379
n04118538,0.4041299416379664,0.35689275856808306,0.3641802299265848,0.3499338479941168
n03998194,0.013061518510509395,0.027233123836998628,0.05197107569254043,0.062424531739458944
n01688243,0.031625070041896075,0.021686077327794918,0.10255210611790495,0.06732871647950567
n02782093,0.041717386598556484,0.010265549989926513,0.13110481888315123,0.016426631463413933
n02088364,0.0915658451888925,0.032483022678825364,0.1752818507845087,0.07329693086277597
n04152593,0.024905286203349503,0.06354412967700228,0.09549443306420362,0.1666988038637945
n02277742,0.02057357476972482,0.01424590837003052,0.078455796496525,0.06469708706075038
n02105855,0.067080483115622,0.06300333693307039,0.1412613836289336,0.12418174265336651
n02167151,0.03486816571838913,0.02180497488473833,0.126200695049797,0.0633874272675503
n02487347,0.03693451809428972,0.029136470902958535,0.09859041591434187,0.05944438122825235
n04584207,0.20810417567518427,0.34125260718882316,0.2802845981552457,0.3396720219253138
n02500267,0.022704244547096825,0.028640254266426836,0.08319365066681694,0.0917390521959422
n02098105,0.05032364820846196,0.030632498774630222,0.13345116451986305,0.11317994867595639
n03393912,0.010930861122095063,0.011465575657784938,0.0260893513715547,0.013692309407395334
n02971356,0.04064144852367912,0.04920536073088442,0.11829190677701745,0.11656314524652389
n02526121,0.024600221157704664,0.03417032395347633,0.08723208705059632,0.09387926838400705
n02497673,0.014324946664782474,0.0071875760688635635,0.05253807468298905,0.017137933721972056
n02009229,0.02933365874527943,0.0325826582614718,0.0929856692036633,0.06260319696962105
n01855032,0.012324643207482389,0.028384429229154195,0.040071010876703166,0.07173596151893404
n02317335,0.06073092730151034,0.07511875604901434,0.15990574134103977,0.18213316426946016
n02114367,0.014544389144461264,0.0035743529684714305,0.0609448835185623,0.006628088869289131
n03793489,0.08365032854886693,0.09600732259868608,0.19096270472531104,0.21885703675521048
n07747607,0.15337498968397068,0.1743998127900065,0.2742681083838823,0.29881938789816853
n12768682,0.042828054290825826,0.05437902189025806,0.12816386533280844,0.16249711413299275
n01496331,0.010828899451228965,0.006040074446160588,0.04498753632811764,0.01616090282927838
n02509815,0.017559698108041477,0.005386443100333054,0.06636281770738967,0.010091105595144409
n07753113,0.06891566558818395,0.06472399423447797,0.167190635383469,0.16976417743263275
n03617480,0.09192546880919067,0.10717366306853364,0.15435643334954777,0.16949076319017198
n01955084,0.012563965003188503,0.011385509144174353,0.06684473183208606,0.04901856259122143
n09399592,0.004774638415809621,0.0022682919334374675,0.032985575041755956,0.006704497157508339
n07930864,0.05637577362476995,0.07947693482699378,0.1547741651614454,0.17695866633520865
n01990800,0.018879503355182216,0.025958049919030373,0.08578675471281334,0.06607792380991158
n02123597,0.09317659509994122,0.0821970319957336,0.18628762813420333,0.1693733228620282
n04509417,0.0979226055854803,0.1194182850420657,0.1838059205135794,0.23784896140599246
n04239074,0.023414219921638002,0.027195590135688688,0.08297542673312476,0.07663866764186066
n03777568,0.01782425729248033,0.02051476820888638,0.06286126321456653,0.040054055065260843
n02692877,0.010737129954461438,0.0073514570945371815,0.039668158692613975,0.013471341329911126
n01532829,0.04583933112326244,0.04304587883205386,0.13394517989792715,0.11080953973035583
n02120505,0.020323995237964583,0.018688446491919423,0.06529189946968583,0.07428666265383145
n04310018,0.012031235332545142,0.0060230189652793345,0.05338959354701499,0.008822240500730936
n02091134,0.09152494627524738,0.06214008806160564,0.18483106648744727,0.127626815642405
n03590841,0.020703663101804735,0.007626528028158646,0.07909006177482862,0.010598212491076713
n02791124,0.08078543412060388,0.10026294657567632,0.1798340884192827,0.17666794991450321
n02112706,0.05530494185466666,0.05583109566781786,0.1445493750670573,0.13502877453281742
n04447861,0.05395726190903845,0.07739896288069702,0.1381764911782489,0.20041142434337383
n03840681,0.04891905519555679,0.0708258082412226,0.14326620333383042,0.17325673730242683
n07717556,0.17950786438561925,0.14648500600050285,0.2907428440265303,0.2553562993309272
n02113186,0.053444019311511465,0.04071759087233659,0.12858775441175174,0.07795856659381706
n02823428,0.030516180947036023,0.042568098282845315,0.10226617009316025,0.1108040533847439
n07697313,0.043582125985632644,0.06517567471071743,0.1175362267948289,0.17682392080072007
n04264628,0.014655572581490325,0.011467498572287696,0.07202201553026646,0.026086738687117094
n03047690,0.12584810771815974,0.07065855655712103,0.23753054573147386,0.17569100181912872
n03180011,0.020284156342151218,0.015807195569088116,0.06332718756397647,0.030041943480690426
n02326432,0.010998629521444864,0.0037769474605926236,0.04881758390727244,0.008957826438800935
n04254777,0.25917840899415906,0.2929715435460736,0.3170184563780113,0.3062902378151348
n07892512,0.059958062697951085,0.053735936644698085,0.15258771504811305,0.1396122858040731
n02124075,0.04065343908381438,0.04381961959956243,0.11703852987006531,0.10766440096800532
n04273569,0.009156073911777475,0.015768617647690917,0.04261211841662118,0.05117136568535129
n02391049,0.012636137565565446,0.024623796679366025,0.05191990165428019,0.1142113761188677
n02107142,0.10526381179908091,0.18264267501908762,0.18169576662127257,0.21667407550100168
n03920288,0.02451133704475126,0.04451018318961559,0.1118911130959431,0.11322453649948336
n04505470,0.023509051438859487,0.006773580627247782,0.09306754629878271,0.01248798668931009
n02490219,0.032554884233761114,0.07915319722961726,0.10989325855031909,0.22839463326474702
n03032252,0.016386049217338525,0.008765857835260248,0.05790317876811629,0.016065427773047977
n04456115,0.0575021834620545,0.07713060562827423,0.1383871381423621,0.20885214834368784
n02111889,0.04705977908113495,0.02543493507511812,0.1349215356546829,0.0907422835752905
n02690373,0.008421468199456017,0.008014663281264801,0.021267298323984468,0.01080370194704981
n03095699,0.006302409344796082,0.0023209046740339545,0.03293969651063678,0.0033524703786032804
n02423022,0.0694521123934928,0.12476822728785919,0.16193888048928123,0.24709798711569853
n07742313,0.09861995765184767,0.055547166611647894,0.2087327172276702,0.13372254772073505
n04483307,0.012902168244104971,0.00833248171676658,0.05207776821661041,0.0180633677428915
n02007558,0.089966533829961,0.134739782914221,0.16879351313278615,0.23374084891633373
n04371774,0.13833088641737043,0.11498779819972128,0.2329582295283856,0.21052287693174992
n04335435,0.010151725399113853,0.02732443366989173,0.03931011586805236,0.10123660030788938
n02085936,0.03094263075615692,0.039958314725020046,0.10044224060348773,0.1461832917620447
n01664065,0.033701643898851774,0.039551809994341054,0.12292856449652144,0.13062467907930062
n01530575,0.034038482970193774,0.03441926283114299,0.10802547299976926,0.10435677266996937
n03384352,0.01600739380655354,0.01765149956655492,0.060088153799726075,0.08859646045651168
n02174001,0.07166363824591757,0.07298862049106901,0.1727128371315987,0.17004544117407563
n01806567,0.019092653518537533,0.015094193115655798,0.07051899260929521,0.04725969382248737
n02641379,0.0588200227557771,0.026305415024344258,0.14585957866150331,0.09519772448692046
n01773797,0.017508989407999706,0.02014483910643321,0.05300411786693834,0.0951183933991181
n02134418,0.016296553003543157,0.006651919338823972,0.06204201983612554,0.014793160708352413
n02892201,0.007885959715616645,0.009562012469211822,0.03216566428916064,0.032470571784884085
n07718472,0.08129851012701941,0.06195987042784509,0.17325531926162338,0.15816194919048562
n02165105,0.01571605301331867,0.04640810062424862,0.06502418507888802,0.16747963703215396
n06785654,0.11300490550014311,0.09140518115483247,0.2217527094400878,0.19496560235985572
n03782006,0.02937599662309305,0.050417230721056965,0.09878500468554594,0.14535412226611807
n02443114,0.04405803961628393,0.02560774218080155,0.13537742378381618,0.09532479451023144
n03794056,0.02686802430451492,0.023589405580360108,0.10319312400741312,0.047708298957803305
n04263257,0.043766226691774046,0.025906056323054826,0.13515522946496836,0.07882986333951025
n02669723,0.03698613577238196,0.015257314491386752,0.09355074066984856,0.02821417383324797
n03710721,0.7682779637851882,0.8336190681666358,0.31573869897209783,0.25584362106263525
n02107574,0.0841481309470702,0.09371968377744451,0.15841251946680043,0.1408591926846013
n02105162,0.14847689567344302,0.11864690240630353,0.22223347353943873,0.1661663615152914
n03100240,0.024448794145039636,0.013457698234604435,0.1021152933348551,0.08281495650869665
n04542943,0.02833405926242133,0.04706932331477219,0.10425214515912208,0.13430710723618347
n01968897,0.02150979657087443,0.03352467157797605,0.0872429276863758,0.1199367106678851
n07584110,0.022432181442252726,0.025667108441537037,0.09015335300812632,0.06505024958562633
n01630670,0.04806282161481662,0.022652275304608338,0.1579042497768866,0.08036709395436005
n02105412,0.07338134578228588,0.08416092798699537,0.15198578427212914,0.15391446573873155
n04258138,0.015771763910085244,0.013733773839134357,0.06660302372062367,0.03615900466807428
n03627232,0.07589069370971181,0.06417379365746456,0.1855308799201264,0.12685562970478256
n04009552,0.03219069598648568,0.02484899986974483,0.10887076981200813,0.09667045001121376
n02114855,0.012780535550910084,0.014564561764518657,0.05139279277173475,0.03800016356941921
n02408429,0.038948319340119913,0.03713408649568919,0.11335639173086039,0.1171837179453394
n02102480,0.02484927317242719,0.04253860539805828,0.07370670259877828,0.06989870621698008
n02090379,0.15244615324548186,0.22714156474961783,0.2381318186060946,0.28256132176259224
n02106030,0.04639927528877289,0.026802569122337444,0.1079407086760942,0.06759976089290533
n04429376,0.03213325888816649,0.027993970839415853,0.11216364726116847,0.07742964819436123
n01818515,0.03994981026174799,0.036675243881140886,0.10784121442097748,0.11031676980766499
n01770081,0.03659753003964179,0.05770434030893739,0.11281856415679282,0.1510852729159103
n02115913,0.02775516438076633,0.07556874988620621,0.08461532431796474,0.17975282998159245
n03976467,0.024683037590410625,0.03757489904423465,0.10017879661580249,0.13733479805521479
n02825657,0.011290602251859813,0.01565057772252203,0.04550662591035731,0.0711719960123231
n07880968,0.04122144522527925,0.047214634566639685,0.12378663588810686,0.09036416346447869
n03787032,0.049806353759423605,0.08212846627298731,0.12849393480048238,0.2074277092485811
n03207743,0.020586620001048092,0.010237696616421772,0.07558297727280562,0.022907083144766735
n03980874,0.11568604244022625,0.12846972446896415,0.20399870894536792,0.22307801500132848
n02114712,0.025821661073845356,0.013980378296743083,0.06562880206695494,0.04166401375645077
n04548362,0.024956389833731146,0.011907465239465048,0.09366748474618863,0.03572598262356646
n02086646,0.04822550712834805,0.03447241120225954,0.12394127279793803,0.0775690166868958
n04081281,0.045588018969519646,0.02940304932699746,0.11673446772663186,0.07278097381597178
n02011460,0.014740307436078104,0.014772249543518683,0.052373782551215525,0.03135994888732571
n09332890,0.015194078112549582,0.00964093428240858,0.07597430640654945,0.032914042393826226
n07745940,0.03860255312100242,0.05505145800999344,0.12074299779682815,0.15062191939951997
n03494278,0.11281950249456978,0.2080014601297222,0.228738162775335,0.27528222351996073
n01677366,0.0243960291684112,0.016252255364233862,0.0949722649523687,0.04480491616075081
n02835271,0.09535707323393812,0.06947772337495735,0.19477317982636327,0.17316696867544362
n02834397,0.02896035378057569,0.05473676648391823,0.08829364627052547,0.10610662135748007
n01824575,0.02380337235924997,0.03591403706181154,0.07119584513868585,0.08993174805776423
n03706229,0.00579245738131826,0.009731385704859576,0.045409350327386334,0.0446964360209283
n03724870,0.06494759735461934,0.10043609022601231,0.16068278012444037,0.20827462445878125
n02363005,0.009994620896415764,0.012204361449257704,0.054340682979095986,0.051741668402794455
n02085782,0.028997451847890734,0.011846876197378151,0.08824425994812884,0.01966475403895504
n02804414,0.07075792408847256,0.1101155197564482,0.1574438485704764,0.16878985543192923
n04254120,0.028583787108888446,0.01423253390264449,0.10119110326609776,0.022400007048737455
n02441942,0.03769663759948598,0.0558153190343171,0.11877517811722005,0.19139999023443707
n04201297,0.02653620326062995,0.0665841803461933,0.07976633094141403,0.18781565683398743
n04120489,0.08157217779147412,0.07323471615829817,0.19047591824830445,0.17245568261675942
n02037110,0.017290965668771606,0.020817950642358484,0.05266437809057162,0.050961533727004904
n03595614,0.09652132874938195,0.09200322420844394,0.18535352372646507,0.1756962610667032
n02101006,0.04109995272671063,0.028365341514436294,0.09839351112892097,0.05051866721709903
n07248320,0.030083943751180838,0.037066124606826636,0.08941392098800796,0.06922048569308324
n02097047,0.04732909091047158,0.05589894448542452,0.12426062459510571,0.13436826450171555
n02988304,0.014615466851228493,0.012924305078664702,0.06825369978999059,0.03242962140329715
n04275548,0.028035969478795726,0.024734387531352695,0.0918289446839711,0.08341123799184048
n03954731,0.031472054262481765,0.021905343713023207,0.10656142000156206,0.07356817503950758
n01644900,0.03510052129976406,0.0659844244591477,0.13208393633558044,0.1976377879666104
n04325704,0.13501823937943647,0.11822630111668332,0.2274787881681875,0.2256583612445627
n13052670,0.022890707697370137,0.04975923201309342,0.08316529433209989,0.14920482908002983
n04399382,0.07476821128588589,0.07019306814387165,0.15800841651129752,0.1317020219546324
n01795545,0.004915056520529628,0.0044136436659164245,0.01859216743545269,0.011547125173966234
n03085013,0.07751160114289801,0.09508165338918843,0.1738282665991071,0.2118603519481247
n02797295,0.05537243267974744,0.046060680093378326,0.14834778877839014,0.13141304721488906
n04252225,0.007067184010150289,0.00815832921843139,0.042515273970267074,0.027672098084714186
n03657121,0.0776212638608153,0.06847014149716416,0.1921075078837193,0.16163142988901044
n03126707,0.009426371375442217,0.012533594304472899,0.03966531355179655,0.04258057063003449
n02879718,0.0826999192568409,0.09547049125239872,0.17338637396316672,0.2135017970559231
n04118776,0.037419993054014694,0.031827040831242354,0.123080030443805,0.09182852847902291
n02909870,0.07136136218786998,0.0821446277927166,0.18151362114312158,0.19163017544251043
n02096051,0.03971014583768513,0.033652909819875274,0.10788494690371093,0.05186724292903786
n02276258,0.015170963354711091,0.013800735280356094,0.057038497253483575,0.03469329415492669
n09229709,0.09381500919798065,0.08518010200151366,0.20251304472898032,0.18757327339566973
